id,click,hour,banner_pos,device_id,device_ip,device_model,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,pub_id,pub_domain,pub_category,device_id_cnt,device_ip_cnt,user_cnt,user_hour_cnt,user_click_history,sp1_cnt,user_click_history2
10065853211782064121,0,14102100,0,a99f214a,d195e29f,2cd8ff6d,1,0,1005,21611,320,50,2480,3,297,100111,61,5e3f096f,2347f47a,0f2161f8,732,12,12,12,,12,
10067997832137818045,0,14102100,0,a99f214a,f5c497db,cc1b551e,1,2,1005,20596,320,50,2161,0,35,100161,157,5adb10d9,2347f47a,cef3e649,732,12,12,12,,12,
10069312519787717806,0,14102100,0,a99f214a,52251c92,a9e0c3ab,1,0,1005,20596,320,50,2161,0,35,-1,157,0acbeaa3,45a51db4,f95efa07,732,12,12,12,,12,
10069716898669651698,0,14102100,0,a99f214a,49c5a80d,2ea4f8ba,1,0,1005,21611,320,50,2480,3,297,100111,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10070182618859427075,0,14102100,0,a99f214a,3cebbc81,34d5fa08,1,0,1005,20596,320,50,2161,0,35,-1,157,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10071218506447189033,0,14102100,0,a99f214a,46087b84,99e427c9,1,0,1005,21611,320,50,2480,3,297,100111,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10072212624335143578,0,14102100,0,a99f214a,bbe185d8,aad45b01,1,0,1005,20508,320,50,2351,3,163,100020,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10002518649031436658,0,14102100,0,a99f214a,6dec2796,aad45b01,1,0,1005,20984,320,50,2371,0,551,-1,46,98fed791,d9b5648e,0f2161f8,732,12,12,12,,12,
10004482643316086592,0,14102100,0,a99f214a,fa60af6b,b4b19c97,1,0,1005,21234,320,50,2434,3,163,100088,61,66a5f0f3,d9b5648e,cef3e649,732,12,12,12,,12,
10006958186789044052,1,14102100,0,a99f214a,ce6e6bbd,2cd8ff6d,1,0,1005,18993,320,50,2161,0,35,100034,157,0acbeaa3,45a51db4,f95efa07,732,12,12,12,,12,
10009807995169380879,0,14102100,0,a99f214a,554d9f5f,36a30aeb,1,0,1005,15705,320,50,1722,0,35,100084,79,396df801,2347f47a,0f2161f8,732,12,12,12,,12,
10009910814812262951,1,14102100,0,a99f214a,f8c8df20,be87996b,1,2,1005,18993,320,50,2161,0,35,100131,157,a079ef6b,2347f47a,75d80bbe,732,12,12,12,,12,
1001082718558099372,0,14102100,0,a99f214a,5a96d22e,9e3836ff,1,0,1005,18993,320,50,2161,0,35,-1,157,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10010966574628106108,1,14102100,0,a99f214a,061893d4,68b900d9,1,0,1005,20596,320,50,2161,0,35,100034,157,0acbeaa3,45a51db4,f95efa07,732,12,12,12,,12,
10011650513707909570,0,14102100,0,a99f214a,1ce4451d,99e427c9,1,0,1005,21611,320,50,2480,3,297,100111,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10013552540914034684,0,14102100,0,a99f214a,c21a1e56,89416188,1,0,1005,4687,320,50,423,2,39,100148,32,e2fcccd2,5c5a694b,0f2161f8,732,12,12,12,,12,
10013840276980995258,0,14102100,0,a99f214a,07533d06,76dc4769,1,0,1005,4687,320,50,423,2,39,100148,32,e2fcccd2,5c5a694b,0f2161f8,732,12,12,12,,12,
10014190212266331300,1,14102100,0,a99f214a,ed9450c2,1f0bc64f,1,0,1005,20633,320,50,2374,3,39,-1,23,9c13b419,2347f47a,f95efa07,732,12,12,12,,12,
10014887683839786798,1,14102100,0,a99f214a,fac78767,84ebbcd4,1,0,1005,4687,320,50,423,2,39,100148,32,e2fcccd2,5c5a694b,0f2161f8,732,12,12,12,,12,
10015140740686523448,0,14102100,0,a99f214a,2d227840,9b5ce758,1,0,1005,21611,320,50,2480,3,297,100111,61,c51f82bc,d9b5648e,0f2161f8,732,12,12,12,,12,
10017024728538959689,0,14102100,0,a99f214a,68e496ca,ad0ecb0d,1,2,1005,20596,320,50,2161,0,35,100034,157,0acbeaa3,45a51db4,f95efa07,732,12,12,12,,12,
10017306529805473196,0,14102100,0,a99f214a,4e5378c0,99e427c9,1,0,1005,19743,320,50,2264,3,427,100000,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10017356694683044868,0,14102100,0,a99f214a,d3e691e0,aa35da31,1,0,1005,18993,320,50,2161,0,35,-1,157,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10018563981679953217,0,14102100,0,a99f214a,8e9fa84b,f5da7bc4,1,0,1005,17661,320,50,1996,1,41,100057,71,8bfb92e0,7801e8d9,07d7df22,732,12,12,12,,12,
10021516630479124436,0,14102100,0,a99f214a,f9d55cdb,c4cff2ea,1,0,1005,17875,320,50,2036,3,47,-1,156,680e6a92,2347f47a,0f2161f8,732,12,12,12,,12,
10023200351270366469,0,14102100,0,a99f214a,080e8b1d,3bc980aa,1,0,1005,20596,320,50,2161,0,35,-1,157,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10023836977405174778,0,14102100,0,a99f214a,8fec7bcf,034b811d,1,0,1005,4687,320,50,423,2,39,100148,32,e2fcccd2,5c5a694b,0f2161f8,732,12,12,12,,12,
10028158991193694000,0,14102100,0,a99f214a,658adfe3,56f23684,1,2,1005,20596,320,50,2161,0,35,-1,157,090d3a47,0654b444,0f2161f8,732,12,12,12,,12,
1002948443498545577,0,14102100,0,a99f214a,ab9a5222,2ee63ff8,1,0,1005,20596,320,50,2161,0,35,-1,157,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10033908124156139444,0,14102100,0,a99f214a,42f455c7,0712b55e,1,0,1005,18993,320,50,2161,0,35,100128,157,0acbeaa3,45a51db4,f95efa07,732,12,12,12,,12,
10036673663067426161,0,14102100,0,a99f214a,f9abb355,b4b19c97,1,0,1005,21611,320,50,2480,3,297,100111,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10038716747490614041,0,14102100,0,a99f214a,4ac8925b,aad45b01,1,0,1005,21611,320,50,2480,3,297,100111,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10039148490202159706,0,14102100,0,a99f214a,c9f82b87,f4fffcd0,1,0,1005,21611,320,50,2480,3,297,100111,61,92e72531,d9b5648e,0f2161f8,732,12,12,12,,12,
10039246519457785872,0,14102100,0,a99f214a,84fb8c78,542422a7,1,0,1005,19743,320,50,2264,3,427,100002,61,51cedd4e,aefc06bd,0f2161f8,732,12,12,12,,12,
10039712132796768064,0,14102100,0,a99f214a,883e9180,be74e6fe,1,0,1005,16989,320,50,1926,2,39,-1,13,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10041530799353656828,0,14102100,0,a99f214a,6b60118a,aad45b01,1,0,1005,20153,320,50,2307,3,163,100020,61,e8937587,d9b5648e,0f2161f8,732,12,12,12,,12,
10043301534204611668,1,14102100,0,a99f214a,90f4d280,57b3c6c3,1,0,1005,20634,320,50,2374,3,39,-1,23,e2fcccd2,5c5a694b,0f2161f8,732,12,12,12,,12,
10043326267361895064,0,14102100,0,a99f214a,930ec31d,8b65b455,1,0,1005,18648,320,50,1092,3,1835,100156,61,de97da65,33da2e74,0f2161f8,732,12,12,12,,12,
10044855978973105045,0,14102100,0,a99f214a,a3c2b521,df36cdb8,1,0,1005,16989,320,50,1926,2,39,100128,13,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10045110368483144711,0,14102100,0,a99f214a,bbe53381,542422a7,1,0,1005,19743,320,50,2264,3,427,100000,61,51cedd4e,aefc06bd,0f2161f8,732,12,12,12,,12,
10045287352545275389,0,14102100,0,a99f214a,d5d1473b,cdfde03b,1,0,1005,20596,320,50,2161,0,35,-1,157,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10047774563054995,1,14102100,0,a99f214a,c20a8177,aa35da31,1,0,1005,20346,300,250,2331,2,39,100060,23,89bdfe24,2347f47a,0f2161f8,732,12,12,12,,12,
10047935420879300335,0,14102100,0,a99f214a,2063ba09,e3bb76b5,1,0,1005,21611,320,50,2480,3,297,100111,61,51cedd4e,aefc06bd,0f2161f8,732,12,12,12,,12,
10050438561825472278,1,14102100,0,a99f214a,49d8597e,d0d694e4,1,0,1005,20751,320,50,1895,0,681,100028,101,9c13b419,2347f47a,f95efa07,732,12,12,12,,12,
10051917857004944173,0,14102100,0,a99f214a,f95ab5a2,72a00661,1,0,1005,20984,320,50,2371,0,551,100215,46,98fed791,d9b5648e,0f2161f8,732,12,12,12,,12,
10054487144727454272,0,14102100,0,a99f214a,3f41dc13,9b5ce758,1,0,1005,21611,320,50,2480,3,297,100111,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10054584303239156702,0,14102100,0,a99f214a,f122a2e9,2ea4f8ba,1,0,1005,20508,320,50,2351,3,163,-1,61,53de0284,d9b5648e,0f2161f8,732,12,12,12,,12,
10055850146571597965,0,14102100,0,a99f214a,7db30ee7,9f8d0424,1,0,1005,20596,320,50,2161,0,35,-1,157,0acbeaa3,45a51db4,f95efa07,732,12,12,12,,12,
10056536800612540706,0,14102100,0,a99f214a,f01c9699,aad45b01,1,0,1005,20980,320,50,2371,0,551,100215,46,98fed791,d9b5648e,0f2161f8,732,12,12,12,,12,
10058113986759989064,0,14102100,0,a99f214a,74c7651f,99e427c9,1,0,1005,19743,320,50,2264,3,427,100000,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10058184435781153237,0,14102100,0,a99f214a,13aa29fc,9b5ce758,1,0,1005,20751,320,50,1895,0,681,100028,101,2d869bee,d9b5648e,0f2161f8,732,12,12,12,,12,
10058507157396892094,0,14102100,0,a99f214a,4b169bc5,ef726eae,1,0,1005,4687,320,50,423,2,39,100148,32,e2fcccd2,5c5a694b,0f2161f8,732,12,12,12,,12,
10058627171275102626,0,14102100,0,a99f214a,8bf2d575,7abbbd5c,1,0,1005,18993,320,50,2161,0,35,100105,157,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10058746252136717846,0,14102100,0,a99f214a,a7baa20f,dc31133e,1,2,1005,21611,320,50,2480,3,297,100111,61,85b28c93,ae637522,8ded1f7a,732,12,12,12,,12,
10058856496220336790,1,14102100,0,a99f214a,e7154e4f,aad45b01,1,0,1005,20984,320,50,2371,0,551,100215,46,98fed791,d9b5648e,0f2161f8,732,12,12,12,,12,
10059985053133224537,1,14102100,0,a99f214a,d6b6f514,3e7932d7,1,0,1005,4687,320,50,423,2,39,100148,32,e2fcccd2,5c5a694b,0f2161f8,732,12,12,12,,12,
10062479528415380163,0,14102100,0,a99f214a,c50fa813,3eb8d368,1,0,1005,20508,320,50,2351,3,163,100020,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10062622867840390002,0,14102100,0,a99f214a,c37fc02d,f4fffcd0,1,0,1005,20984,320,50,2371,0,551,100215,46,925db399,d9b5648e,0f2161f8,732,12,12,12,,12,
10063630726225524789,0,14102100,0,a99f214a,df9d9316,d056b4bf,1,0,1005,21611,320,50,2480,3,297,100111,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10063985097368833699,1,14102100,0,a99f214a,1861b129,89416188,1,0,1005,20596,320,50,2161,0,35,-1,157,0acbeaa3,45a51db4,f95efa07,732,12,12,12,,12,
10065138335302585931,0,14102100,0,a99f214a,d07a55b2,cd5b1559,1,2,1005,6559,320,50,571,2,39,-1,32,03528b27,2347f47a,8ded1f7a,732,12,12,12,,12,
10065853211782064121,0,14102100,0,a99f214a,d195e29f,2cd8ff6d,1,0,1005,21611,320,50,2480,3,297,100111,61,5e3f096f,2347f47a,0f2161f8,732,12,12,12,,12,
10067997832137818045,0,14102100,0,a99f214a,f5c497db,cc1b551e,1,2,1005,20596,320,50,2161,0,35,100161,157,5adb10d9,2347f47a,cef3e649,732,12,12,12,,12,
10069312519787717806,0,14102100,0,a99f214a,52251c92,a9e0c3ab,1,0,1005,20596,320,50,2161,0,35,-1,157,0acbeaa3,45a51db4,f95efa07,732,12,12,12,,12,
10069716898669651698,0,14102100,0,a99f214a,49c5a80d,2ea4f8ba,1,0,1005,21611,320,50,2480,3,297,100111,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10070182618859427075,0,14102100,0,a99f214a,3cebbc81,34d5fa08,1,0,1005,20596,320,50,2161,0,35,-1,157,1779deee,2347f47a,f95efa07,732,12,12,12,,12,
10071218506447189033,0,14102100,0,a99f214a,46087b84,99e427c9,1,0,1005,21611,320,50,2480,3,297,100111,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
10072212624335143578,0,14102100,0,a99f214a,bbe185d8,aad45b01,1,0,1005,20508,320,50,2351,3,163,100020,61,febd1138,82e27996,0f2161f8,732,12,12,12,,12,
